trial_id,region,instruction
1,center,
2,center,
3,center,
4,top_left,
5,bottom_right,
6,top_left,
7,bottom_right,
8,top_right,
9,top_right,
10,top,
11,bottom,
12,right,
13,top_right,
14,right,
15,bottom_left,
16,top,
17,top,
18,bottom_left,
19,top,
20,top,
21,bottom,
22,right,
23,center,
24,top,
25,bottom,
26,right,
27,bottom,
28,top_left,
29,right,
30,bottom,
31,top,
32,center,
33,center,
34,bottom_right,
35,top,
36,left,
37,bottom,
38,top_right,
39,center,
40,top,
41,center,
42,top,
43,left,
44,top_right,
45,top,
46,left,
47,top_right,
48,top_left,
49,top,
50,bottom,
51,top,
52,top_right,
53,bottom,
54,center,
55,left,
56,center,
57,bottom,
58,center,
59,center,
60,bottom_left,
61,top,
62,bottom,
63,left,
64,top,
65,top_right,
66,left,
67,center,
68,center,
69,bottom_right,
70,bottom,
71,top_left,
72,center,
73,bottom,
74,top,
75,top_right,
76,bottom,
77,left,
78,top_right,
79,center,
80,bottom,
81,left,
82,right,
83,left,
84,bottom,
85,center,
86,bottom_left,
87,center,
88,top_right,
89,left,
90,top_right,
91,left,
92,top_right,
93,left,
94,bottom,
95,left,
96,top_right,
97,bottom_left,
98,bottom,
99,top,
100,left,
101,left,
102,top,
103,left,
104,bottom_left,
105,top_left,
106,top,
107,left,
108,bottom_left,
109,center,
110,bottom,
111,center,
112,top_right,
113,bottom_left,
114,left,
115,center,
116,bottom_right,
117,right,
118,bottom,
119,top,
120,bottom_right,
121,top_left,
122,bottom,
123,top_left,
124,bottom,
125,bottom_right,
126,bottom,
127,right,
128,top_left,
129,bottom,
130,top_right,
131,bottom_right,
132,right,
133,center,
134,bottom_left,
135,center,
136,left,
137,bottom_left,
138,center,
139,right,
140,left,
141,center,
142,right,
143,bottom_left,
144,left,
145,center,
146,bottom_right,
147,right,
148,center,
149,bottom_right,
150,top_right,
151,left,
152,center,
153,bottom,
154,center,
155,top_right,
156,bottom,
157,bottom_right,
158,top,
159,bottom,
160,top,
161,bottom_left,
162,top_right,
163,left,
164,bottom_right,
165,top,
